GEOID,state,county,white,black,hispanic,asian,total,entropy,distmeters,distmiles
48085030301,TX,Collin County,2022,341,366,100,2829,0.633196,52437.122968,32.582999
48085030516,TX,Collin County,3100,713,780,532,5125,0.793597,44104.188223,27.40514
48085030521,TX,Collin County,1624,502,414,627,3167,0.880821,45242.696021,28.112578
48085031410,TX,Collin County,5798,832,981,775,8386,0.689236,38304.742641,23.801523
48085031507,TX,Collin County,3185,320,363,467,4335,0.625105,38487.68938,23.915201
48085031611,TX,Collin County,1861,583,753,399,3596,0.870819,31557.951461,19.609251
48085031637,TX,Collin County,4319,291,335,1965,6910,0.671893,33899.012867,21.063922
48085031655,TX,Collin County,3057,359,536,676,4628,0.723437,28414.548449,17.656026
48085031715,TX,Collin County,1929,123,182,298,2532,0.573634,25207.603611,15.663318
48085031806,TX,Collin County,743,110,112,647,1612,0.787626,25682.043263,15.958122
48085032011,TX,Collin County,3010,482,372,2068,5932,0.785714,28741.809431,17.859377
48113001001,TX,Dallas County,1169,27,337,51,1584,0.52911,5377.610187,3.3415
48113001502,TX,Dallas County,606,380,2248,59,3293,0.644419,3250.731583,2.019916
48113003101,TX,Dallas County,1691,297,371,87,2446,0.660711,408.85844,0.254053
48113004600,TX,Dallas County,752,113,815,19,1699,0.680707,5419.443613,3.367495
48113006002,TX,Dallas County,1045,2972,1307,493,5817,0.862842,9425.268216,5.856605
48113007301,TX,Dallas County,1845,11,60,34,1950,0.187041,9424.095418,5.855876
48113007822,TX,Dallas County,645,163,199,64,1071,0.774007,11652.157795,7.240333
48113007903,TX,Dallas County,1506,78,135,42,1761,0.402388,9054.652788,5.626314
48113007910,TX,Dallas County,1708,319,587,551,3165,0.851904,9578.58499,5.951872
48113008705,TX,Dallas County,13,1094,263,0,1370,0.390014,10190.768628,6.332266
48113009202,TX,Dallas County,660,728,4625,17,6030,0.517495,12772.646188,7.936574
48113009804,TX,Dallas County,152,204,7030,11,7397,0.17089,12536.981343,7.790138
48113010902,TX,Dallas County,140,5464,565,31,6200,0.318657,14548.408637,9.039984
48113011900,TX,Dallas County,668,2721,5998,25,9412,0.612717,14585.426919,9.062987
48113012702,TX,Dallas County,797,282,1836,35,2950,0.667781,13300.760958,8.26473
48113013102,TX,Dallas County,1504,28,82,40,1654,0.284534,12454.845455,7.739101
48113013611,TX,Dallas County,2228,77,122,157,2584,0.394451,22631.336883,14.062496
48113013713,TX,Dallas County,129,45,1659,31,1864,0.322118,21136.676183,13.133754
48113013805,TX,Dallas County,528,288,1311,216,2343,0.820984,18555.417639,11.529831
48113014119,TX,Dallas County,3155,130,430,398,4113,0.558797,26926.008141,16.731087
48113014302,TX,Dallas County,2645,416,3341,194,6596,0.713392,17689.733139,10.991918
48113014308,TX,Dallas County,685,400,2728,271,4084,0.704439,16462.880748,10.229585
48113014405,TX,Dallas County,981,172,2449,74,3676,0.609544,18547.704326,11.525038
48113014901,TX,Dallas County,219,59,1073,37,1388,0.520238,15184.952669,9.435516
48113016201,TX,Dallas County,1211,478,2547,119,4355,0.728915,20204.874279,12.554758
48113016502,TX,Dallas County,1905,1375,3413,125,6818,0.792673,15831.792037,9.837444
48113016616,TX,Dallas County,1196,2969,1312,49,5526,0.756201,28013.423361,17.406778
48113016704,TX,Dallas County,390,3038,677,16,4121,0.552674,17884.126165,11.112708
48113017303,TX,Dallas County,4013,1537,1908,254,7712,0.807442,20745.160299,12.890477
48113018001,TX,Dallas County,2694,803,2548,97,6142,0.763175,15589.748633,9.687045
48113018127,TX,Dallas County,1033,296,1756,54,3139,0.70927,17014.213968,10.572169
48113018204,TX,Dallas County,205,812,3654,24,4695,0.477727,21239.592803,13.197704
48113019014,TX,Dallas County,1569,889,3379,1092,6929,0.895321,20048.863189,12.457817
48113019026,TX,Dallas County,3077,587,909,785,5358,0.824602,23260.659257,14.453539
48113019032,TX,Dallas County,733,281,2523,624,4161,0.776011,18821.160023,11.694956
48113019039,TX,Dallas County,3052,788,1903,763,6506,0.881253,20741.613187,12.888273
48113019213,TX,Dallas County,692,636,1831,68,3227,0.759683,18294.465157,11.367682
48119950100,TX,Delta County,2637,84,156,14,2891,0.266932,133214.556603,82.775894
48121020504,TX,Denton County,1358,260,1107,51,2776,0.729726,61903.911389,38.465403
48121021408,TX,Denton County,4885,464,780,262,6391,0.565158,47836.860782,29.724521
48121021523,TX,Denton County,2152,298,999,78,3527,0.686593,36894.052748,22.924959
48121021630,TX,Denton County,2430,968,734,654,4786,0.885034,29198.60653,18.143218
48121021726,TX,Denton County,2477,115,295,174,3061,0.492722,36036.78258,22.392274
48121021734,TX,Denton County,1466,530,610,144,2750,0.823168,31794.547388,19.756265
48121021739,TX,Denton County,1038,618,1828,72,3556,0.782351,32353.788099,20.103762
48121021749,TX,Denton County,2869,72,185,143,3269,0.359237,40075.764655,24.901988
48139060803,TX,Ellis County,822,37,437,14,1310,0.582784,39469.587069,24.525325
